# Terrain overflow check: blend.terrain.y-range.max=301 (pack-configured)
# Tiles: 100x100, seed: 1, pack: CHIMERA
# Positions where terrain.sampler + terrain.sampler-2d density > 0 at y=301
x=7132 z=21396 y=301 biome=SNOWY_SPIRES density=3.000000
x=7136 z=21396 y=301 biome=SNOWY_SPIRES density=3.000000
x=7140 z=21396 y=301 biome=SNOWY_SPIRES density=1.397534
x=7116 z=21400 y=301 biome=SNOWY_SPIRES density=3.000000
x=7120 z=21400 y=301 biome=SNOWY_SPIRES density=3.000000
x=7124 z=21400 y=301 biome=SNOWY_SPIRES density=3.000000
x=7128 z=21400 y=301 biome=SNOWY_SPIRES density=3.000000
x=7132 z=21400 y=301 biome=SNOWY_SPIRES density=3.000000
x=7136 z=21400 y=301 biome=SNOWY_SPIRES density=2.704910
x=7140 z=21400 y=301 biome=SNOWY_SPIRES density=0.637235
x=7120 z=21404 y=301 biome=SNOWY_SPIRES density=3.000000
x=7124 z=21404 y=301 biome=SNOWY_SPIRES density=3.000000
x=7128 z=21404 y=301 biome=SNOWY_SPIRES density=3.000000
x=7132 z=21404 y=301 biome=SNOWY_SPIRES density=2.755261
x=7136 z=21404 y=301 biome=SNOWY_SPIRES density=1.279952
x=7120 z=21408 y=301 biome=SNOWY_SPIRES density=1.367137
x=7124 z=21408 y=301 biome=SNOWY_SPIRES density=1.795197
x=7128 z=21408 y=301 biome=SNOWY_SPIRES density=1.613925
x=7132 z=21408 y=301 biome=SNOWY_SPIRES density=0.847387
x=7236 z=21136 y=301 biome=SNOWY_SPIRES density=1.854460
x=7240 z=21136 y=301 biome=SNOWY_SPIRES density=2.109433
x=7244 z=21136 y=301 biome=SNOWY_SPIRES density=1.795766
x=7248 z=21136 y=301 biome=SNOWY_SPIRES density=0.978093
x=7232 z=21140 y=301 biome=SNOWY_SPIRES density=2.861208
x=7236 z=21140 y=301 biome=SNOWY_SPIRES density=3.000000
x=7240 z=21140 y=301 biome=SNOWY_SPIRES density=3.000000
x=7244 z=21140 y=301 biome=SNOWY_SPIRES density=3.000000
x=7248 z=21140 y=301 biome=SNOWY_SPIRES density=2.805284
x=7252 z=21140 y=301 biome=SNOWY_SPIRES density=1.379447
x=7228 z=21144 y=301 biome=SNOWY_SPIRES density=2.694631
x=7232 z=21144 y=301 biome=SNOWY_SPIRES density=3.000000
x=7236 z=21144 y=301 biome=SNOWY_SPIRES density=3.000000
x=7240 z=21144 y=301 biome=SNOWY_SPIRES density=3.000000
x=7244 z=21144 y=301 biome=SNOWY_SPIRES density=3.000000
x=7248 z=21144 y=301 biome=SNOWY_SPIRES density=3.000000
x=7252 z=21144 y=301 biome=SNOWY_SPIRES density=2.691309
x=7256 z=21144 y=301 biome=SNOWY_SPIRES density=0.820908
x=7228 z=21148 y=301 biome=SNOWY_SPIRES density=3.000000
x=7232 z=21148 y=301 biome=SNOWY_SPIRES density=3.000000
x=7236 z=21148 y=301 biome=SNOWY_SPIRES density=3.000000
x=7240 z=21148 y=301 biome=SNOWY_SPIRES density=3.000000
x=7244 z=21148 y=301 biome=SNOWY_SPIRES density=3.000000
x=7248 z=21148 y=301 biome=SNOWY_SPIRES density=3.000000
x=7252 z=21148 y=301 biome=SNOWY_SPIRES density=3.000000
x=7256 z=21148 y=301 biome=SNOWY_SPIRES density=1.496268
x=7232 z=21152 y=301 biome=SNOWY_SPIRES density=3.000000
x=7236 z=21152 y=301 biome=SNOWY_SPIRES density=3.000000
x=7240 z=21152 y=301 biome=SNOWY_SPIRES density=3.000000
x=7244 z=21152 y=301 biome=SNOWY_SPIRES density=3.000000
x=7248 z=21152 y=301 biome=SNOWY_SPIRES density=3.000000
x=7252 z=21152 y=301 biome=SNOWY_SPIRES density=3.000000
x=7256 z=21152 y=301 biome=SNOWY_SPIRES density=1.672668
x=7236 z=21156 y=301 biome=SNOWY_SPIRES density=3.000000
x=7240 z=21156 y=301 biome=SNOWY_SPIRES density=3.000000
x=7244 z=21156 y=301 biome=SNOWY_SPIRES density=3.000000
x=7248 z=21156 y=301 biome=SNOWY_SPIRES density=3.000000
x=7252 z=21156 y=301 biome=SNOWY_SPIRES density=3.000000
x=7256 z=21156 y=301 biome=SNOWY_SPIRES density=1.319449
x=7240 z=21160 y=301 biome=SNOWY_SPIRES density=3.000000
x=7244 z=21160 y=301 biome=SNOWY_SPIRES density=3.000000
x=7248 z=21160 y=301 biome=SNOWY_SPIRES density=3.000000
x=7252 z=21160 y=301 biome=SNOWY_SPIRES density=2.287081
x=7256 z=21160 y=301 biome=SNOWY_SPIRES density=0.495803
x=7244 z=21164 y=301 biome=SNOWY_SPIRES density=3.000000
x=7248 z=21164 y=301 biome=SNOWY_SPIRES density=2.202780
x=7252 z=21164 y=301 biome=SNOWY_SPIRES density=0.866834
x=7248 z=21168 y=301 biome=SNOWY_SPIRES density=0.333274
x=7284 z=21204 y=301 biome=SNOWY_SPIRES density=0.701747
x=7288 z=21204 y=301 biome=SNOWY_SPIRES density=0.686119
x=7280 z=21208 y=301 biome=SNOWY_SPIRES density=1.392919
x=7284 z=21208 y=301 biome=SNOWY_SPIRES density=2.683850
x=7288 z=21208 y=301 biome=SNOWY_SPIRES density=2.742248
x=7292 z=21208 y=301 biome=SNOWY_SPIRES density=1.442630
x=7276 z=21212 y=301 biome=SNOWY_SPIRES density=0.154980
x=7280 z=21212 y=301 biome=SNOWY_SPIRES density=2.233082
x=7284 z=21212 y=301 biome=SNOWY_SPIRES density=3.000000
x=7288 z=21212 y=301 biome=SNOWY_SPIRES density=3.000000
x=7292 z=21212 y=301 biome=SNOWY_SPIRES density=2.383865
x=7296 z=21212 y=301 biome=SNOWY_SPIRES density=0.214047
x=7280 z=21216 y=301 biome=SNOWY_SPIRES density=1.894592
x=7284 z=21216 y=301 biome=SNOWY_SPIRES density=3.000000
x=7288 z=21216 y=301 biome=SNOWY_SPIRES density=3.000000
x=7292 z=21216 y=301 biome=SNOWY_SPIRES density=1.998198
x=7280 z=21220 y=301 biome=SNOWY_SPIRES density=0.608669
x=7284 z=21220 y=301 biome=SNOWY_SPIRES density=1.615776
x=7288 z=21220 y=301 biome=SNOWY_SPIRES density=1.624587
x=7292 z=21220 y=301 biome=SNOWY_SPIRES density=0.598062
