# Terrain overflow check: blend.terrain.y-range.max=301 (pack-configured)
# Tiles: 200x200, seed: 1, pack: CHIMERA
# Positions where terrain.sampler + terrain.sampler-2d density > 0 at y=301
x=1552 z=47564 y=301 biome=DIKSAM_PLATEAU density=7.072276
x=1556 z=47564 y=301 biome=DIKSAM_PLATEAU density=2.081574
x=1536 z=47568 y=301 biome=DIKSAM_PLATEAU density=10.089296
x=1540 z=47568 y=301 biome=DIKSAM_PLATEAU density=20.388731
x=1544 z=47568 y=301 biome=DIKSAM_PLATEAU density=29.519144
x=1548 z=47568 y=301 biome=DIKSAM_PLATEAU density=15.567662
x=1552 z=47568 y=301 biome=DIKSAM_PLATEAU density=7.039737
x=1556 z=47568 y=301 biome=DIKSAM_PLATEAU density=1.427991
x=1536 z=47572 y=301 biome=DIKSAM_PLATEAU density=13.661015
x=1540 z=47572 y=301 biome=DIKSAM_PLATEAU density=17.934054
x=1544 z=47572 y=301 biome=DIKSAM_PLATEAU density=15.284535
x=1548 z=47572 y=301 biome=DIKSAM_PLATEAU density=10.863370
x=1536 z=47576 y=301 biome=DIKSAM_PLATEAU density=14.632807
x=1540 z=47576 y=301 biome=DIKSAM_PLATEAU density=18.472589
x=1544 z=47576 y=301 biome=DIKSAM_PLATEAU density=13.609684
x=1548 z=47576 y=301 biome=DIKSAM_PLATEAU density=5.227176
x=1536 z=47580 y=301 biome=DIKSAM_PLATEAU density=1.190808
x=1540 z=47580 y=301 biome=DIKSAM_PLATEAU density=18.985414
x=1544 z=47580 y=301 biome=DIKSAM_PLATEAU density=14.670850
x=1536 z=47584 y=301 biome=DIKSAM_PLATEAU density=2.684449
x=1540 z=47584 y=301 biome=DIKSAM_PLATEAU density=19.760479
x=1544 z=47584 y=301 biome=DIKSAM_PLATEAU density=16.527851
x=1536 z=47588 y=301 biome=DIKSAM_PLATEAU density=2.533770
x=1540 z=47588 y=301 biome=DIKSAM_PLATEAU density=6.744276
x=1544 z=47588 y=301 biome=DIKSAM_PLATEAU density=4.043445
x=1536 z=47592 y=301 biome=DIKSAM_PLATEAU density=0.534485
x=1540 z=47592 y=301 biome=DIKSAM_PLATEAU density=5.906477
x=1544 z=47592 y=301 biome=DIKSAM_PLATEAU density=4.223514
x=1552 z=47592 y=301 biome=DIKSAM_PLATEAU density=1.580737
x=1556 z=47592 y=301 biome=DIKSAM_PLATEAU density=0.061282
x=1540 z=47596 y=301 biome=DIKSAM_PLATEAU density=3.388074
x=1544 z=47596 y=301 biome=DIKSAM_PLATEAU density=2.403205
x=1540 z=47600 y=301 biome=DIKSAM_PLATEAU density=2.199757
x=1540 z=47604 y=301 biome=DIKSAM_PLATEAU density=0.342771
x=1572 z=47604 y=301 biome=DIKSAM_PLATEAU density=0.076047
x=1576 z=47604 y=301 biome=DIKSAM_PLATEAU density=2.450131
x=1572 z=47608 y=301 biome=DIKSAM_PLATEAU density=3.385616
x=1576 z=47608 y=301 biome=DIKSAM_PLATEAU density=2.158247
x=1580 z=47608 y=301 biome=DIKSAM_PLATEAU density=1.044100
x=1572 z=47612 y=301 biome=DIKSAM_PLATEAU density=4.081104
x=1576 z=47612 y=301 biome=DIKSAM_PLATEAU density=1.247558
x=28132 z=86344 y=301 biome=PERMAFROST_CLIFFS density=2.888357
x=28308 z=86016 y=301 biome=BITTER_HEIGHTS density=2.793057
x=28312 z=86016 y=301 biome=BITTER_HEIGHTS density=8.337762
x=28316 z=86016 y=301 biome=BITTER_HEIGHTS density=11.926392
x=28320 z=86016 y=301 biome=BITTER_HEIGHTS density=10.732653
x=28324 z=86016 y=301 biome=BITTER_HEIGHTS density=8.859935
x=28328 z=86016 y=301 biome=BITTER_HEIGHTS density=4.903354
x=28332 z=86016 y=301 biome=BITTER_HEIGHTS density=1.777578
x=28312 z=86020 y=301 biome=BITTER_HEIGHTS density=0.535729
x=28316 z=86020 y=301 biome=BITTER_HEIGHTS density=4.840293
x=28320 z=86020 y=301 biome=BITTER_HEIGHTS density=7.665146
x=28324 z=86020 y=301 biome=BITTER_HEIGHTS density=4.505554
x=28328 z=86020 y=301 biome=BITTER_HEIGHTS density=0.918358
x=28328 z=86028 y=301 biome=BITTER_HEIGHTS density=0.074624
x=28320 z=86032 y=301 biome=BITTER_HEIGHTS density=0.175791
x=28324 z=86032 y=301 biome=BITTER_HEIGHTS density=0.398544
x=28324 z=86036 y=301 biome=BITTER_HEIGHTS density=2.608031
x=28328 z=86036 y=301 biome=BITTER_HEIGHTS density=1.141607
x=28316 z=86000 y=301 biome=BITTER_HEIGHTS density=1.784422
x=28320 z=86000 y=301 biome=BITTER_HEIGHTS density=3.974005
x=28324 z=86000 y=301 biome=BITTER_HEIGHTS density=0.821113
x=28308 z=86004 y=301 biome=BITTER_HEIGHTS density=1.407000
x=28312 z=86004 y=301 biome=BITTER_HEIGHTS density=6.708097
x=28316 z=86004 y=301 biome=BITTER_HEIGHTS density=8.192660
x=28320 z=86004 y=301 biome=BITTER_HEIGHTS density=11.373241
x=28324 z=86004 y=301 biome=BITTER_HEIGHTS density=5.152787
x=28308 z=86008 y=301 biome=BITTER_HEIGHTS density=6.451883
x=28312 z=86008 y=301 biome=BITTER_HEIGHTS density=12.095183
x=28316 z=86008 y=301 biome=BITTER_HEIGHTS density=13.026530
x=28320 z=86008 y=301 biome=BITTER_HEIGHTS density=13.040042
x=28324 z=86008 y=301 biome=BITTER_HEIGHTS density=5.969245
x=28308 z=86012 y=301 biome=BITTER_HEIGHTS density=9.784176
x=28312 z=86012 y=301 biome=BITTER_HEIGHTS density=15.722540
x=28316 z=86012 y=301 biome=BITTER_HEIGHTS density=17.135761
x=28320 z=86012 y=301 biome=BITTER_HEIGHTS density=12.478370
x=28324 z=86012 y=301 biome=BITTER_HEIGHTS density=7.277649
x=28328 z=86012 y=301 biome=BITTER_HEIGHTS density=1.508961
x=28404 z=12816 y=301 biome=BITTER_HEIGHTS density=2.022092
x=28408 z=12816 y=301 biome=BITTER_HEIGHTS density=3.058086
x=28412 z=12816 y=301 biome=BITTER_HEIGHTS density=3.280742
x=28416 z=12816 y=301 biome=BITTER_HEIGHTS density=0.393931
x=28420 z=12816 y=301 biome=BITTER_HEIGHTS density=3.870334
x=28424 z=12816 y=301 biome=BITTER_HEIGHTS density=8.316236
x=28428 z=12816 y=301 biome=BITTER_HEIGHTS density=3.924142
x=28400 z=12820 y=301 biome=BITTER_HEIGHTS density=0.346603
x=28404 z=12820 y=301 biome=BITTER_HEIGHTS density=4.558960
x=28408 z=12820 y=301 biome=BITTER_HEIGHTS density=0.742645
x=28424 z=12820 y=301 biome=BITTER_HEIGHTS density=3.137726
x=28428 z=12820 y=301 biome=BITTER_HEIGHTS density=7.478922
x=28400 z=12824 y=301 biome=BITTER_HEIGHTS density=7.112778
x=28404 z=12824 y=301 biome=BITTER_HEIGHTS density=3.306661
x=28400 z=12828 y=301 biome=BITTER_HEIGHTS density=7.536364
x=28400 z=12832 y=301 biome=BITTER_HEIGHTS density=1.574638
x=79792 z=14384 y=301 biome=BITTER_HEIGHTS density=3.023844
x=28760 z=11900 y=301 biome=FIR_HIGHLANDS density=3.502009
x=28764 z=11900 y=301 biome=FIR_HIGHLANDS density=4.480125
x=28760 z=11904 y=301 biome=FIR_HIGHLANDS density=3.490947
x=28756 z=11908 y=301 biome=FIR_HIGHLANDS density=0.729955
x=3740 z=52548 y=301 biome=BITTER_HEIGHTS density=2.363266
x=3744 z=52548 y=301 biome=BITTER_HEIGHTS density=1.799344
x=3732 z=52552 y=301 biome=BITTER_HEIGHTS density=3.275189
x=3736 z=52552 y=301 biome=BITTER_HEIGHTS density=3.665709
x=3740 z=52552 y=301 biome=BITTER_HEIGHTS density=5.122419
x=3744 z=52552 y=301 biome=BITTER_HEIGHTS density=2.534754
x=3756 z=52552 y=301 biome=BITTER_HEIGHTS density=1.408606
x=3760 z=52552 y=301 biome=BITTER_HEIGHTS density=2.358264
x=3732 z=52556 y=301 biome=BITTER_HEIGHTS density=5.453076
x=3736 z=52556 y=301 biome=BITTER_HEIGHTS density=3.824926
x=3740 z=52556 y=301 biome=BITTER_HEIGHTS density=5.071142
x=3752 z=52556 y=301 biome=BITTER_HEIGHTS density=5.899306
x=3756 z=52556 y=301 biome=BITTER_HEIGHTS density=2.901405
x=3732 z=52560 y=301 biome=BITTER_HEIGHTS density=2.656056
x=3644 z=52568 y=301 biome=BITTER_HEIGHTS density=2.055237
x=3648 z=52568 y=301 biome=BITTER_HEIGHTS density=2.782853
x=3664 z=52576 y=301 biome=BITTER_HEIGHTS density=0.482289
x=3664 z=52580 y=301 biome=BITTER_HEIGHTS density=1.750672
x=56016 z=46760 y=301 biome=MONSOON_FOREST density=0.451004
x=56016 z=46764 y=301 biome=MONSOON_FOREST density=1.507208
x=5348 z=96904 y=301 biome=BADLANDS_BUTTES density=3.540668
x=5352 z=96904 y=301 biome=BADLANDS_BUTTES density=4.269570
x=5356 z=96904 y=301 biome=BADLANDS_BUTTES density=3.007042
x=5316 z=96956 y=301 biome=BADLANDS_BUTTES density=3.402547
x=5316 z=96960 y=301 biome=BADLANDS_BUTTES density=3.398266
x=5320 z=96960 y=301 biome=BADLANDS_BUTTES density=9.719247
x=5324 z=96960 y=301 biome=BADLANDS_BUTTES density=2.803980
x=5320 z=96964 y=301 biome=BADLANDS_BUTTES density=8.887428
x=5324 z=96964 y=301 biome=BADLANDS_BUTTES density=4.922849
x=31372 z=97680 y=301 biome=BITTER_HEIGHTS density=2.190360
x=31376 z=97680 y=301 biome=BITTER_HEIGHTS density=1.934379
x=31380 z=97680 y=301 biome=BITTER_HEIGHTS density=2.845313
x=31368 z=97684 y=301 biome=BITTER_HEIGHTS density=4.611329
x=31372 z=97684 y=301 biome=BITTER_HEIGHTS density=5.876724
x=31376 z=97684 y=301 biome=BITTER_HEIGHTS density=4.952023
x=31380 z=97684 y=301 biome=BITTER_HEIGHTS density=5.944901
x=31368 z=97688 y=301 biome=BITTER_HEIGHTS density=4.271949
x=31372 z=97688 y=301 biome=BITTER_HEIGHTS density=9.444675
x=31376 z=97688 y=301 biome=BITTER_HEIGHTS density=8.000572
x=31380 z=97688 y=301 biome=BITTER_HEIGHTS density=11.705788
x=31384 z=97688 y=301 biome=BITTER_HEIGHTS density=4.149154
x=31368 z=97692 y=301 biome=BITTER_HEIGHTS density=0.488906
x=31372 z=97692 y=301 biome=BITTER_HEIGHTS density=6.111686
x=31376 z=97692 y=301 biome=BITTER_HEIGHTS density=4.599878
x=31380 z=97692 y=301 biome=BITTER_HEIGHTS density=5.488398
x=31384 z=97692 y=301 biome=BITTER_HEIGHTS density=0.037204
x=31372 z=97696 y=301 biome=BITTER_HEIGHTS density=1.921185
x=31368 z=97704 y=301 biome=BITTER_HEIGHTS density=1.966092
x=31372 z=97704 y=301 biome=BITTER_HEIGHTS density=0.213323
x=31380 z=97704 y=301 biome=BITTER_HEIGHTS density=7.815813
x=31384 z=97704 y=301 biome=BITTER_HEIGHTS density=3.643999
x=31368 z=97708 y=301 biome=BITTER_HEIGHTS density=1.573714
x=31372 z=97708 y=301 biome=BITTER_HEIGHTS density=6.495187
x=31376 z=97708 y=301 biome=BITTER_HEIGHTS density=5.389157
x=31380 z=97708 y=301 biome=BITTER_HEIGHTS density=3.649954
x=84980 z=44076 y=301 biome=BITTER_HEIGHTS density=0.755514
x=85008 z=44020 y=301 biome=BITTER_HEIGHTS density=5.112676
x=85012 z=44020 y=301 biome=BITTER_HEIGHTS density=6.573830
x=85016 z=44020 y=301 biome=BITTER_HEIGHTS density=5.483342
x=85020 z=44020 y=301 biome=BITTER_HEIGHTS density=8.704771
x=85024 z=44020 y=301 biome=BITTER_HEIGHTS density=10.055148
x=85028 z=44020 y=301 biome=BITTER_HEIGHTS density=7.489536
x=85008 z=44024 y=301 biome=BITTER_HEIGHTS density=10.036488
x=84996 z=44028 y=301 biome=BITTER_HEIGHTS density=2.309416
x=85008 z=44028 y=301 biome=BITTER_HEIGHTS density=15.833510
x=85000 z=44032 y=301 biome=BITTER_HEIGHTS density=5.126290
x=85004 z=44032 y=301 biome=BITTER_HEIGHTS density=9.602283
x=85008 z=44032 y=301 biome=BITTER_HEIGHTS density=15.872421
x=85000 z=44036 y=301 biome=BITTER_HEIGHTS density=6.291864
x=85004 z=44036 y=301 biome=BITTER_HEIGHTS density=8.587747
x=85000 z=44040 y=301 biome=BITTER_HEIGHTS density=4.904582
x=85004 z=44040 y=301 biome=BITTER_HEIGHTS density=6.080283
x=85000 z=44044 y=301 biome=BITTER_HEIGHTS density=2.629359
x=85044 z=44044 y=301 biome=BITTER_HEIGHTS density=0.076646
x=85060 z=44120 y=301 biome=BITTER_HEIGHTS density=4.519103
x=85064 z=44120 y=301 biome=BITTER_HEIGHTS density=3.464227
x=85064 z=44124 y=301 biome=BITTER_HEIGHTS density=1.183270
x=85032 z=63308 y=301 biome=BITTER_HEIGHTS density=0.575797
x=85020 z=63312 y=301 biome=BITTER_HEIGHTS density=2.236258
x=85024 z=63312 y=301 biome=BITTER_HEIGHTS density=5.428907
x=85028 z=63312 y=301 biome=BITTER_HEIGHTS density=7.874612
x=85032 z=63312 y=301 biome=BITTER_HEIGHTS density=5.092861
x=85024 z=63316 y=301 biome=BITTER_HEIGHTS density=4.551254
x=85028 z=63316 y=301 biome=BITTER_HEIGHTS density=7.907784
x=85032 z=63316 y=301 biome=BITTER_HEIGHTS density=5.776955
x=85024 z=63320 y=301 biome=BITTER_HEIGHTS density=0.398670
x=85028 z=63320 y=301 biome=BITTER_HEIGHTS density=3.098497
x=85032 z=63320 y=301 biome=BITTER_HEIGHTS density=0.154720
x=85460 z=63436 y=301 biome=FIR_HIGHLANDS density=1.992418
x=85464 z=63444 y=301 biome=FIR_HIGHLANDS density=3.431131
x=85464 z=63448 y=301 biome=FIR_HIGHLANDS density=2.901245
x=85468 z=63448 y=301 biome=FIR_HIGHLANDS density=0.340981
x=85468 z=63452 y=301 biome=FIR_HIGHLANDS density=4.983762
x=86496 z=40332 y=301 biome=BITTER_HEIGHTS density=2.976285
x=86356 z=40336 y=301 biome=BITTER_HEIGHTS density=1.320985
x=86360 z=40336 y=301 biome=BITTER_HEIGHTS density=6.823285
x=86364 z=40336 y=301 biome=BITTER_HEIGHTS density=5.153079
x=86496 z=40336 y=301 biome=BITTER_HEIGHTS density=3.481787
x=86352 z=40340 y=301 biome=BITTER_HEIGHTS density=0.422649
x=86356 z=40340 y=301 biome=BITTER_HEIGHTS density=9.104018
x=86360 z=40340 y=301 biome=BITTER_HEIGHTS density=9.265962
x=86364 z=40340 y=301 biome=BITTER_HEIGHTS density=10.040528
x=86368 z=40340 y=301 biome=BITTER_HEIGHTS density=8.818893
x=86496 z=40340 y=301 biome=BITTER_HEIGHTS density=1.243715
x=86352 z=40344 y=301 biome=BITTER_HEIGHTS density=7.412505
x=86356 z=40344 y=301 biome=BITTER_HEIGHTS density=15.198905
x=86360 z=40344 y=301 biome=BITTER_HEIGHTS density=14.948573
x=86364 z=40344 y=301 biome=BITTER_HEIGHTS density=16.337631
x=86368 z=40344 y=301 biome=BITTER_HEIGHTS density=16.952844
x=86372 z=40344 y=301 biome=BITTER_HEIGHTS density=7.741192
x=86352 z=40348 y=301 biome=BITTER_HEIGHTS density=10.206223
x=86356 z=40348 y=301 biome=BITTER_HEIGHTS density=18.156845
x=86360 z=40348 y=301 biome=BITTER_HEIGHTS density=20.049601
x=86364 z=40348 y=301 biome=BITTER_HEIGHTS density=20.477011
x=86368 z=40348 y=301 biome=BITTER_HEIGHTS density=21.699011
x=86372 z=40348 y=301 biome=BITTER_HEIGHTS density=13.408854
x=86376 z=40348 y=301 biome=BITTER_HEIGHTS density=3.890151
x=86352 z=40352 y=301 biome=BITTER_HEIGHTS density=8.640750
x=86356 z=40352 y=301 biome=BITTER_HEIGHTS density=13.695980
x=86360 z=40352 y=301 biome=BITTER_HEIGHTS density=16.396561
x=86364 z=40352 y=301 biome=BITTER_HEIGHTS density=17.003472
x=86368 z=40352 y=301 biome=BITTER_HEIGHTS density=17.368250
x=86372 z=40352 y=301 biome=BITTER_HEIGHTS density=11.034758
x=86376 z=40352 y=301 biome=BITTER_HEIGHTS density=2.900978
x=86348 z=40356 y=301 biome=BITTER_HEIGHTS density=1.891716
x=86352 z=40356 y=301 biome=BITTER_HEIGHTS density=6.896977
x=86356 z=40356 y=301 biome=BITTER_HEIGHTS density=8.837372
x=86360 z=40356 y=301 biome=BITTER_HEIGHTS density=11.864489
x=86364 z=40356 y=301 biome=BITTER_HEIGHTS density=11.410732
x=86368 z=40356 y=301 biome=BITTER_HEIGHTS density=12.364174
x=86372 z=40356 y=301 biome=BITTER_HEIGHTS density=8.657685
x=86376 z=40356 y=301 biome=BITTER_HEIGHTS density=1.379542
x=86352 z=40360 y=301 biome=BITTER_HEIGHTS density=2.270003
x=86356 z=40360 y=301 biome=BITTER_HEIGHTS density=2.880150
x=86360 z=40360 y=301 biome=BITTER_HEIGHTS density=6.726589
x=86364 z=40360 y=301 biome=BITTER_HEIGHTS density=10.878703
x=86368 z=40360 y=301 biome=BITTER_HEIGHTS density=12.037560
x=86372 z=40360 y=301 biome=BITTER_HEIGHTS density=9.803819
x=86376 z=40360 y=301 biome=BITTER_HEIGHTS density=5.393344
x=86352 z=40364 y=301 biome=BITTER_HEIGHTS density=0.749224
x=86364 z=40364 y=301 biome=BITTER_HEIGHTS density=4.077348
x=86368 z=40364 y=301 biome=BITTER_HEIGHTS density=8.375484
x=86372 z=40364 y=301 biome=BITTER_HEIGHTS density=5.612971
x=86376 z=40364 y=301 biome=BITTER_HEIGHTS density=3.316341
x=86336 z=40368 y=301 biome=BITTER_HEIGHTS density=0.357300
x=86340 z=40368 y=301 biome=BITTER_HEIGHTS density=0.476281
x=86344 z=40368 y=301 biome=BITTER_HEIGHTS density=0.632340
x=86348 z=40368 y=301 biome=BITTER_HEIGHTS density=0.631972
x=86368 z=40368 y=301 biome=BITTER_HEIGHTS density=0.951621
x=86372 z=40368 y=301 biome=BITTER_HEIGHTS density=1.489313
x=86332 z=40372 y=301 biome=BITTER_HEIGHTS density=0.701690
x=86336 z=40372 y=301 biome=BITTER_HEIGHTS density=4.346477
x=86340 z=40372 y=301 biome=BITTER_HEIGHTS density=2.405441
x=86352 z=40372 y=301 biome=BITTER_HEIGHTS density=0.267554
x=86332 z=40376 y=301 biome=BITTER_HEIGHTS density=4.254491
x=86336 z=40376 y=301 biome=BITTER_HEIGHTS density=7.968320
x=86340 z=40376 y=301 biome=BITTER_HEIGHTS density=6.458464
x=86344 z=40376 y=301 biome=BITTER_HEIGHTS density=2.452806
x=86348 z=40376 y=301 biome=BITTER_HEIGHTS density=1.263687
x=86352 z=40376 y=301 biome=BITTER_HEIGHTS density=0.057158
x=86328 z=40380 y=301 biome=BITTER_HEIGHTS density=1.636057
x=86332 z=40380 y=301 biome=BITTER_HEIGHTS density=9.541262
x=86336 z=40380 y=301 biome=BITTER_HEIGHTS density=14.317832
x=86340 z=40380 y=301 biome=BITTER_HEIGHTS density=15.959990
x=86344 z=40380 y=301 biome=BITTER_HEIGHTS density=10.723398
x=86348 z=40380 y=301 biome=BITTER_HEIGHTS density=3.214297
x=86328 z=40384 y=301 biome=BITTER_HEIGHTS density=5.907276
x=86332 z=40384 y=301 biome=BITTER_HEIGHTS density=13.600242
x=86336 z=40384 y=301 biome=BITTER_HEIGHTS density=17.629453
x=86340 z=40384 y=301 biome=BITTER_HEIGHTS density=20.115250
x=86344 z=40384 y=301 biome=BITTER_HEIGHTS density=13.505536
x=86348 z=40384 y=301 biome=BITTER_HEIGHTS density=3.822624
x=86328 z=40388 y=301 biome=BITTER_HEIGHTS density=3.336141
x=86332 z=40388 y=301 biome=BITTER_HEIGHTS density=10.837808
x=86336 z=40388 y=301 biome=BITTER_HEIGHTS density=14.927906
x=86340 z=40388 y=301 biome=BITTER_HEIGHTS density=14.081743
x=86344 z=40388 y=301 biome=BITTER_HEIGHTS density=8.015303
x=86332 z=40392 y=301 biome=BITTER_HEIGHTS density=6.017751
x=86336 z=40392 y=301 biome=BITTER_HEIGHTS density=5.520222
x=86340 z=40392 y=301 biome=BITTER_HEIGHTS density=2.886151
x=86336 z=40396 y=301 biome=BITTER_HEIGHTS density=0.729269
x=35624 z=31232 y=301 biome=BITTER_HEIGHTS density=7.346248
x=35628 z=31232 y=301 biome=BITTER_HEIGHTS density=5.464462
x=35624 z=31236 y=301 biome=BITTER_HEIGHTS density=4.206067
x=35628 z=31236 y=301 biome=BITTER_HEIGHTS density=0.831287
x=35700 z=31180 y=301 biome=BITTER_HEIGHTS density=3.131591
x=35704 z=31180 y=301 biome=BITTER_HEIGHTS density=1.570115
x=35696 z=31184 y=301 biome=BITTER_HEIGHTS density=3.148358
x=35700 z=31184 y=301 biome=BITTER_HEIGHTS density=12.343490
x=35704 z=31184 y=301 biome=BITTER_HEIGHTS density=5.674314
x=35692 z=31188 y=301 biome=BITTER_HEIGHTS density=2.925039
x=35696 z=31188 y=301 biome=BITTER_HEIGHTS density=11.388139
